total_box,budget,release_coverage,pindex
14515490,0,0.069386474,3169701
1152117,0,0.019550457,3169714
56569216,0,0.076990347,3169992
6841570,0,0.062572595,3170581
51758599,5.00E+07,0.079704839,3170587
65014513,1.40E+08,0.087671439,3170712
41821986,8.00E+07,0.077205983,3170774
7720487,0,0.027089664,3170987
155575,0,0.000749888,3171136
29796,0,7.73E-05,3171230
28564,0,5.15E-05,3171249
9873044,0,0.084785886,3171343
87727,0,0.000328947,3171467
10823158,8.00E+06,0.041138837,3172012
16775,0,0.000324951,3172034
12068313,3.10E+07,0.064498988,3172111
12475172,0,0.000565565,3172217
17380126,0,0.077293061,3172340
11307844,0,0.047224304,3172381
1047553,0,0.009885653,3172500
31847881,0,0.066447701,3172509
13418091,0,0.03289895,3172531
26877589,0,0.056506677,3172697
72210,0,0.003384095,3172781
55691208,6.50E+07,0.066871347,3173147
20603715,0,0.043203506,3173584
21082165,0,0.060960266,3173585
31425,0,8.41E-05,3173746
112276146,8.00E+07,0.089471207,3174220
10178331,1.00E+05,0.011479891,3174598
1675241,0,0.008746583,3174683
808221,0,0.00145935,3174703
728921,0,0.004665843,3174806
3769873,0,0.008894663,3174912
119194771,6.00E+06,0.055194181,3175054
88715192,5.00E+07,0.083352857,3175149
11534477,5.00E+07,0.069999641,3175263
9540691,2.20E+07,0.011032389,3175267
14059077,0,0.040357759,3175516
1004105,0,0.00859871,3175725
2104439,0,0.027008846,3175774
11774,0,0.000250275,3176043
51266,0,9.41E-05,3176088
8043,0,7.96E-05,3176235
25232289,0,0.071645985,3176265
163145,0,9.41E-05,3176311
1978,0,5.10E-05,3176501
13869,0,5.04E-05,3176505
40903593,0,0.071294779,3176520
231826,0,0.000872531,3176561
22455510,1.80E+07,0.079856243,3177076
34068,0,0.000103003,3177190
12195695,0,0.05366258,3177466
11344,0,0.000112082,3177592
688529,0,0.001146994,3178204
91666,0,0.001308125,3178274
60655420,8.00E+07,0.035361288,3178578
234037575,1.80E+08,0.103151292,3178715
154696080,1.00E+08,0.09602526,3178734
56117548,1.20E+08,0.100084987,3178736
21002919,4.00E+07,0.058726072,3178771
1967,250000,2.65E-05,3179088
58883840,6.00E+07,0.074760054,3179100
15901849,13500000,0.008154001,3179167
11859,0,0.000174512,3179171
