InvestorId,Investor_Name,successful_investments
100221-49,Kings Road Investments,3
100221-85,Software Seed Capital Partners,1
100221-94,Cordell Jigsaw Productions,
100222-30,Murillo Amsterdam Beheer,
100222-39,Ninone Investment,
100224-19,Chris-Leef General Agency,
100224-64,Crystal Applied Technology,
10022-50,Celanese,22
100225-81,Wolfgang Fellner Privatstiftung,
100225-99,The Rich Group,1
100226-71,I-evolve Technology Services,
10022-68,Boart Longyear,3
100226-89,Fidelity Creditor Service,
100227-07,IDB Development,1
100227-25,Hydradyne Hydraulics,
100227-61,Transport Capital,
100228-15,Green Duck,
100228-33,Cooper Valves,
100228-42,Paragon Transaction,
100228-51,Sona Koyo Steering Systems,2
10022-86,American Securities,56
100228-69,Fuji Kiko Company,
100229-86,ESSEC Ventures,9
100230-40,Dystar,1
100230-49,LDF Operations,
100230-67,Hulamin,
100231-12,Projektengagemang,
10023-13,ABRY Partners,119
100231-30,Nextec Technologies 2001,1
100231-48,Compagnie Financière du Forum,
100231-57,Aspatore Ventures,10
100232-20,Han's Laser Technology,
100232-29,Amerit Fleet Solutions,
100232-38,Dalian Wanda Commercial Properties,2
100232-56,Shanghai Challenge Textile Company,
100233-46,Emil Frey,2
100234-00,Chattertons Solicitors,
100234-09,Race Face,1
100234-27,Your Castle Real Estate,
100234-54,Dublin Port,1
100234-63,Hainan Mining Company,
100234-72,Burke Shipping,
100234-99,Western Asset Management Company,
100235-17,Prince,
100235-26,Primonial REIM,
100235-35,KanAm Grund,6
100235-89,PKF-FPM Accountants,
100236-25,Tres Coracoes Alimentos,
100236-52,Liberty Metal & Mining Holdings,1
100236-61,Selous Venture Society,
100236-70,Halman-Aldubi,
100236-79,Funding London,4
100237-24,Mintra Trainingportal,
100238-14,YouTellMe Media,
100238-23,ORS International,
100238-32,LK-Invest,1
100238-50,Rosoboronexport State,2
100238-95,Adamant,1
100239-31,Oe24,
100239-58,Asia Business Group,
100239-67,Sky Empire,
100239-94,Gilmore Jasion Mahler,
10024-03,WFS GLOBAL,2
100240-30,Dhofar International Development & Investment Holding Company,
100240-39,Andulela Investment,1
100240-57,Steelmin Investment,
100240-66,Rafik Mohamed Family Trust,1
100240-93,BrightVentures,3
100241-02,Blicnet,
100241-47,Caxton and CTP Publishers and Printers,
100241-65,China Resources Sanjiu Pharmaceutical Co.,
100241-83,Denim Island,
10024-21,CapitalSource,15
100242-37,YuniKomTrans,
100242-46,East Pacific Capital,
10024-30,Oaktree Capital Management,277
100243-18,Simply Mac,
100243-27,GSMvalve,
100243-63,Pan-China Financial Services Group,1
100243-72,Algonquin Management Partners,1
10024-39,American Industrial Partners,33
100244-26,Medeta Holding,
100244-62,ChroMedX,
100245-07,Tiret Corporate,
100245-34,badenova,
10024-57,Talecris Biotherapeutics,
100245-79,Svitzer,2
100245-88,Ingersoll Tillage Group,
100245-97,Porsche Inter Auto,
100246-06,Center for Popular Democracy,
10024-66,Piper Jaffray,30
100247-14,NVL,
10024-75,Citigroup,149
100247-86,Nova Founders Capital,2
100248-31,Stem Capital Partners,
10024-84,Greenberg Traurig,
100249-21,Fellet Holdings,
10024-93,UBS,113
100249-39,Fuse Medical,
100249-75,Moscow NPZ Holdings,
100249-84,Hao Wen Holdings,
100250-02,Onward Search,
100250-47,Travelnet Norway,1
100251-01,Retail Group 3000,
100252-00,Meezan Bank,
100252-27,Darlim,
100252-45,MV Asociados,
10025-29,National City,7
100252-99,ELAN EL i Ystad,
100253-17,Caribbean Rex,
100253-44,Morningside Capital,2
100253-62,ISAF UK,
100253-71,Hua Heng Technology,1
100253-80,K&P Finance,
100253-98,Tecklenborg,
100254-61,Lincoln Financial Media,
10025-47,Credit Suisse,230
100254-97,GoldMoney,
100255-15,National Enterprises,1
10025-56,LNR Property,5
100255-60,Trinidad and Tobago Electricity Commission,
100256-32,Hanwha Solar Holdings,1
100256-77,Now News Digital Media Technology,
100256-86,Monbat,
100258-48,Moritex,1
10025-92,Cypress Communications,
100260-01,Mercian Labels,
10026-01,CIBC World Markets,40
100260-10,SignaPay,
100260-55,Kimia Farma (Persero),
100261-63,China New Energy,
100262-08,Berjaya Auto,
100262-17,Nafta,
100262-35,Klenzan,
100263-16,Investitsionnaya Transportnaya Kompaniya,
100263-52,AKW Global Logistics,
10026-37,Greenhill & Co.,6
100264-06,D&B Holding,
100264-24,Trunature Holdings,
100264-42,Y3S Group,
100264-51,HepcoMotion,
10026-46,Clifford Chance,2
100264-96,SGI Global,1
10026-55,Arnold & Porter Kaye Scholer,
100266-13,California Biomedical Innovation Alliance,
10026-64,US Department of Homeland Security,7
100266-49,Olleco,
100266-58,Severstal-Metiz Welding Consumables,1
100266-85,TAS Group,2
100266-94,Grupo Antolin,4
10026-73,U.S. Navy,3
100267-57,Yankuang Group,2
100267-84,Marengo Trading Eood,1
100267-93,Thomas Ridley Foodservice,
10026-82,Ridgemont Equity Partners,143
100268-29,Pan Foods Europe,1
100268-65,Concarus Real Estate Invest,
100268-83,Pirin Tourist,1
10026-91,Deutsche Bank,238
100269-10,Cydus Industries,1
100269-19,Frey Software,1
100269-46,Tradespot Investments,1
100269-55,Kirloskar Pompen,
100269-73,Vendrell Eood,
100269-82,Ferrarini,1
100269-91,Elephant Copper,
10027-00,Bear Stearns,29
100270-00,CellBlox,
100270-18,China Oilfield Technology Services Group,1
100270-45,DB Hospitality,
100270-72,CXSolutions,
10027-09,Carousel Capital,30
100270-99,Maabarot Products,2
100271-35,Leppäkosken Sähkö,1
10027-18,Equistone Partners Europe,207
100272-07,Bert Adams Disposal,
100272-34,Modern Ekonomi Sverige Holding,1
100272-52,Square Media Group,
10027-27,Perfectis Private Equity,38
100272-88,Anira Inversiones,1
100273-15,FinLeap,1
100273-33,LWG Consulting,1
100273-51,Allegro,1
10027-36,Express Oil,
100273-69,Vedes,
100274-23,MetLife Investment Management,1
100274-32,CYCOT,
10027-45,American Capital (ACAS),248
100274-50,Necessity Funding,
100274-68,DDC Advocacy,
100275-76,DDS,
100275-85,Benchmark Wine Group,
100276-03,Learsi & Co,1
100276-12,Serengeti Asset Management,
100276-48,Cedarpoint Investments Advisors,1
100276-66,Drex-Chem,
100277-11,Virtual1,
10027-72,Cazenove Capital Management,3
100277-74,VASS Software Labs,
100277-83,YourGrocer,
100278-10,Sercor,2
100278-55,Upper Street Events,
100279-00,Laundrapp,
100279-18,Himenviro Environmental,
100279-54,Paidesport,
10027-99,Trinity Private Equity Group,22
100280-17,FutureCare Health and Management,
100280-53,Blue Road Capital,
100280-98,Hoosier Capital,
100281-43,Right Elite Global,
100281-52,Kronospan,3
100282-24,BlueStream Professional Services,
100282-60,Alexis Nakota Sioux Nation,
100282-69,JT Global,
100283-23,Analytica Bio-Energy,
10028-35,William Blair & Company,10
100283-68,Pelkbuck Oil & Gas,
100285-12,Intek Lyngen,
10028-62,Global Tower Partners,1
100286-92,Coop Norway,
100287-01,The Crest Group,2
10028-71,BNP Paribas,162
100287-73,PBI Conseillers en Actuariat,
10028-80,Capstar Partners,10
100288-27,Sogelia,
100288-99,Tristar Transport,1
100289-17,Glenn Rieder,
100289-98,China Telecom Global,
100290-34,BBG-BBGM,1
100290-52,Douglas Elliman Real Estate,
10029-07,CIT Group,57
100290-88,Altus Edwin Hill,
100291-06,Newlat,
100291-33,Travers Thorp Alberga Attorneys-at-Law,
10029-16,Latham & Watkins,2
100291-69,Stangeskovene,
100291-96,ABD Insurance & Financial Services,
100292-14,Intellekt Stroy,
100292-32,Rybolovetskiy Kolkhoz Druzhba,
100292-50,Donaco International,1
100292-68,Sapa Petrol Tourism,1
100293-22,Schulz Group,
100293-31,Spirit Circuits,
10029-34,"Bruckmann, Rosser, Sherrill & Company",49
100293-58,Mage Industrie Holding,1
100293-85,Mandarin Mining,
100293-94,Industrial Pump Group,1
100294-48,Environmental Science & Technologies,
100295-02,Libri Könyvkereskedelmi Korlátolt Felelosségu Társaság,
100295-29,Groupe Carboman,
10029-61,Circle Peak Capital,10
100296-28,MITS Fund,2
100297-27,Casino Merkur-Spielothek,
100297-63,Ideapod Holding,
100299-52,Garstangs Burrows Bussin,
100299-70,SK Global Chemical Co,
100299-97,Abu Dhabi Financial Group,
100300-87,Itasca Consulting Group,
100301-41,Conforama (Switzerland),
10030-15,Compusearch Software Systems,
100301-95,Grupo Villar Mir,6
100302-49,Sociedade de Turismo E Diverses De Macau,1
100302-67,Soluis,
100303-48,Quantium Solutions (Australia),
100304-83,Reinhard Nieter Krankenhaus Städtische Kliniken,
100305-82,IPCO International,3
100305-91,Long Success International (Holdings),1
10030-60,Bison Capital Asset Management,19
100306-00,Belvedere (3D Web),
100306-09,Symbiot Business Group (Property),1
100306-45,PrintHouseService,1
100306-54,Wintrust Mortgage,
100306-63,Pantoro,
100306-81,Phenomenex,
10030-69,Leeds Equity Partners,18
100307-17,Gorodskoy Supermarket,
100307-44,SVA-Region,1
10030-78,Outremer Telecom,
100307-98,Fynske Bank,
100308-16,Bertelsmann-Konzern,1
